index,GRID_ID,score_lu,score_emp,score_est,score_ind,score_fac,fq
0,CJ-93,0.0,0.0,0.0,0.0,0.0,0.0
1,CI-92,0.0,1.0,0.0,0.0,0.0,0.5
2,CH-91,0.0,1.0,1.0,1.0,0.0,1.25
3,CK-91,1.0,1.0,1.0,1.0,0.0,1.55
4,CL-91,0.0,1.0,1.0,0.0,0.0,0.75
5,CF-90,0.0,1.0,0.0,0.0,0.0,0.5
6,CG-90,1.0,1.0,2.0,1.0,0.0,1.8
7,CK-90,1.0,0.0,0.0,0.0,0.0,0.3
8,CG-89,0.0,1.0,1.0,1.0,0.0,1.25
9,DW-89,0.0,0.0,0.0,0.0,0.0,0.0
10,CD-88,0.0,1.0,1.0,0.0,0.0,0.75
11,CE-88,0.0,1.0,1.0,1.0,0.0,1.25
12,CF-88,0.0,1.0,1.0,0.0,0.0,0.75
13,CG-88,1.0,1.0,1.0,0.0,0.0,1.05
14,DW-88,0.0,0.0,0.0,0.0,0.0,0.0
15,CC-87,2.0,0.0,0.0,0.0,0.0,0.6
16,CD-87,0.0,1.0,1.0,0.0,0.0,0.75
17,CE-87,0.0,1.0,1.0,1.0,0.0,1.25
18,CF-87,0.0,1.0,1.0,0.0,0.0,0.75
19,CG-87,1.0,1.0,0.0,0.0,0.0,0.8
20,CJ-87,0.0,1.0,1.0,0.0,0.0,0.75
21,CP-87,0.0,0.0,0.0,0.0,0.0,0.0
22,DW-87,1.0,0.0,0.0,0.0,0.0,0.3
23,DX-87,1.0,3.0,1.0,0.0,0.0,2.05
24,CC-86,1.0,1.0,1.0,0.0,0.0,1.05
25,CD-86,0.0,1.0,1.0,0.0,0.0,0.75
26,CE-86,0.0,1.0,1.0,0.0,0.0,0.75
27,CF-86,1.0,0.0,0.0,0.0,0.0,0.3
28,CG-86,0.0,1.0,0.0,0.0,0.0,0.5
29,CP-86,2.0,0.0,0.0,0.0,0.0,0.6
30,CQ-86,0.0,0.0,0.0,0.0,0.0,0.0
31,DP-86,1.0,1.0,1.0,0.0,0.0,1.05
32,DQ-86,0.0,1.0,0.0,0.0,0.0,0.5
33,DX-86,1.0,1.0,1.0,1.0,0.0,1.55
34,DY-86,0.0,1.0,1.0,0.0,0.0,0.75
35,EB-86,0.0,0.0,0.0,0.0,0.0,0.0
36,CB-85,1.0,1.0,1.0,0.0,0.0,1.05
37,CC-85,1.0,1.0,2.0,1.0,0.0,1.8
38,CD-85,0.0,1.0,1.0,0.0,0.0,0.75
39,CE-85,0.0,1.0,1.0,0.0,0.0,0.75
40,CF-85,1.0,1.0,1.0,0.0,0.0,1.05
41,CG-85,0.0,1.0,1.0,0.0,0.0,0.75
42,CH-85,0.0,0.0,0.0,0.0,0.0,0.0
43,CI-85,0.0,1.0,0.0,0.0,0.0,0.5
44,CJ-85,0.0,1.0,1.0,0.0,0.0,0.75
45,CK-85,0.0,0.0,0.0,0.0,0.0,0.0
46,CL-85,0.0,0.0,0.0,0.0,0.0,0.0
47,CM-85,0.0,0.0,0.0,0.0,0.0,0.0
48,CN-85,0.0,0.0,0.0,0.0,0.0,0.0
49,CO-85,0.0,1.0,1.0,0.0,0.0,0.75
50,CP-85,1.0,1.0,1.0,0.0,0.0,1.05
51,CQ-85,1.0,1.0,1.0,1.0,0.0,1.55
52,CH-92,0.0,1.0,1.0,0.0,0.0,0.75
53,CJ-92,0.0,1.0,1.0,1.0,0.0,1.25
54,CK-92,0.0,0.0,0.0,0.0,0.0,0.0
55,CG-91,0.0,0.0,0.0,0.0,0.0,0.0
56,CI-91,0.0,1.0,1.0,0.0,0.0,0.75
57,CJ-91,0.0,1.0,1.0,0.0,0.0,0.75
58,DX-91,0.0,0.0,0.0,0.0,0.0,0.0
59,CH-90,0.0,1.0,1.0,1.0,0.0,1.25
60,CI-90,0.0,1.0,1.0,0.0,0.0,0.75
61,CJ-90,0.0,1.0,1.0,0.0,0.0,0.75
62,CL-90,0.0,0.0,0.0,0.0,0.0,0.0
63,CM-90,0.0,0.0,0.0,0.0,0.0,0.0
64,DT-90,0.0,0.0,0.0,0.0,0.0,0.0
65,DV-90,0.0,0.0,0.0,0.0,0.0,0.0
66,DW-90,0.0,0.0,0.0,0.0,0.0,0.0
67,DX-90,0.0,0.0,0.0,0.0,0.0,0.0
68,DY-90,0.0,0.0,0.0,0.0,0.0,0.0
69,CD-89,0.0,1.0,1.0,0.0,0.0,0.75
70,CE-89,0.0,0.0,0.0,0.0,0.0,0.0
71,CF-89,0.0,1.0,1.0,1.0,0.0,1.25
72,CH-89,0.0,1.0,1.0,1.0,0.0,1.25
73,CI-89,0.0,1.0,1.0,0.0,0.0,0.75
74,CJ-89,0.0,0.0,0.0,0.0,0.0,0.0
75,CK-89,0.0,1.0,1.0,0.0,0.0,0.75
76,CL-89,0.0,0.0,0.0,0.0,0.0,0.0
77,CM-89,0.0,0.0,0.0,0.0,0.0,0.0
78,CN-89,0.0,0.0,0.0,0.0,0.0,0.0
79,DT-89,0.0,0.0,0.0,0.0,0.0,0.0
80,DU-89,0.0,0.0,0.0,0.0,0.0,0.0
81,DV-89,0.0,0.0,0.0,0.0,0.0,0.0
82,DX-89,0.0,0.0,0.0,0.0,0.0,0.0
83,DY-89,0.0,0.0,0.0,0.0,0.0,0.0
84,DZ-89,0.0,0.0,0.0,0.0,0.0,0.0
85,CC-88,0.0,0.0,0.0,0.0,0.0,0.0
86,CH-88,0.0,2.0,1.0,0.0,0.0,1.25
87,CI-88,0.0,1.0,1.0,0.0,0.0,0.75
88,CJ-88,0.0,1.0,1.0,0.0,0.0,0.75
89,CK-88,0.0,1.0,1.0,0.0,0.0,0.75
90,CL-88,0.0,0.0,0.0,0.0,0.0,0.0
91,CM-88,0.0,1.0,1.0,0.0,0.0,0.75
92,CN-88,0.0,0.0,0.0,0.0,0.0,0.0
93,CO-88,0.0,0.0,0.0,0.0,0.0,0.0
94,DQ-88,0.0,0.0,0.0,0.0,0.0,0.0
95,DR-88,0.0,0.0,0.0,0.0,0.0,0.0
96,DS-88,0.0,0.0,0.0,0.0,0.0,0.0
